"DATUM","PRUMERNA_DENNI_TEPLOTA","MAX_NARAZ_VETRU_M_S","MAX_RYCHLOST_VETRU_M_S","SOUHRN_SRAZEK_MM","SNEZENI_CM","DELKA_SLUN_SVITU"
"2023-01-01",12.325,"9.50","5.38",0,0,5.94
"2023-01-02",9.225,"8.50","4.70",0,0,5.07
"2023-01-03",5.65,"9.50","5.35",0,0,6.71
"2023-01-04",6.35,"9.10","8.60",5,0,0.3
"2023-01-05",9,"9.40","9.49",3.6,0,6.61
"2023-01-06",8.9,"9.60","6.62",0.7,0,1.08
"2023-01-07",6.725,"8.30","4.02",0.2,0,6.72
"2023-01-08",4.525,"7.60","4.41",0.4,0,3.82
"2023-01-09",4.55,"9.40","5.82",0.9,0,1
"2023-01-10",3.225,"9.50","6.98",0,0,5.59
"2023-01-11",6.025,"9.90","5.72",3.6,0,0
"2023-01-12",7.7,"9.20","8.02",1.2,0,3.21
"2023-01-13",8.075,"9.90","7.50",3.1,0,3.28
"2023-01-14",7.1,"9.90","7.22",0.4,0,6.25
"2023-01-15",6.05,"9.00","8.29",2.8,0,0
"2023-01-16",3.175,"9.90","6.29",0.1,0,7.29
"2023-01-17",2.475,"9.80","6.40",0,0,7.1
"2023-01-18",1.425,"8.80","4.40",0.4,2.8,1.77
"2023-01-19",-1.1,"7.60","4.03",0,0,5.06
"2023-01-20",-0.225,"7.60","4.30",0,0.42,3.27
"2023-01-21",-1.125,"9.90","6.62",0,3.29,0
"2023-01-22",-0.05,"7.80","3.96",0,2.45,0
"2023-01-23",1.15,"7.80","4.05",0,0,0
"2023-01-24",1.95,"7.30","3.94",0,0,0
"2023-01-25",1.475,"4.80","2.81",0,0,0
"2023-01-26",0.5,"6.40","3.60",0,0.14,0
"2023-01-27",-0.3,"8.60","4.61",0,1.19,0
"2023-01-28",-1.725,"9.90","5.30",0,0.07,0.03
"2023-01-29",-2.625,"8.30","4.75",0,0,4.72
"2023-01-30",2.55,"9.40","9.89",0.7,0.14,3
"2023-01-31",3.725,"16.00","8.52",0.8,0,1
"2023-02-01",3.975,"18.00","9.95",2.2,0.42,5.63
